Data,Arrecadacao
01/01/2010,3.299311439
01/02/2010,2.415157679
01/03/2010,2.613291660
01/04/2010,2.533678843
01/05/2010,2.426701583
01/06/2010,2.470458657
01/07/2010,2.609291027
01/08/2010,3.604362508
01/09/2010,2.571656982
01/10/2010,2.477131126
01/11/2010,2.533387475
01/12/2010,2.614529296
01/01/2011,3.850948822
01/02/2011,2.767891649
01/03/2011,2.933018699
01/04/2011,2.880386648
01/05/2011,2.494322152
01/06/2011,2.800248097
01/07/2011,2.787563328
01/08/2011,2.813031250
01/09/2011,2.866447978
01/10/2011,2.810852868
01/11/2011,2.849528151
01/12/2011,3.157952183
01/01/2012,4.368558241
01/02/2012,3.004277830
01/03/2012,3.321157323
01/04/2012,3.145933625
01/05/2012,2.920886729
01/06/2012,3.027938379
01/07/2012,3.102266393
01/08/2012,3.080323974
01/09/2012,3.062126397
01/10/2012,3.180518239
01/11/2012,3.193536398
01/12/2012,3.446384393
01/01/2013,5.295883384
01/02/2013,4.105706236
01/03/2013,3.817682061
01/04/2013,3.657706037
01/05/2013,3.563558492
01/06/2013,3.678681661
01/07/2013,3.563387687
01/08/2013,3.665694906
01/09/2013,3.758508203
01/10/2013,3.819553838
01/11/2013,3.855252827
01/12/2013,3.836488459
01/01/2014,5.421186572
01/02/2014,3.854676842
01/03/2014,3.939469180
01/04/2014,3.711494857
01/05/2014,3.541493879
01/06/2014,3.604519013
01/07/2014,3.639599342
01/08/2014,3.621008144
01/09/2014,3.598134469
01/10/2014,3.621587557
01/11/2014,3.755669575
01/12/2014,3.864993288
01/01/2015,5.774585955
01/02/2015,4.185462521
01/03/2015,4.396698175
01/04/2015,4.018106615
01/05/2015,4.063825245
01/06/2015,4.131956656
01/07/2015,4.075758189
01/08/2015,3.916650654
01/09/2015,4.154161786
01/10/2015,3.966277137
01/11/2015,3.918287581
01/12/2015,4.352525017
01/01/2016,6.360023479
01/02/2016,4.408531102
01/03/2016,4.748431118
01/04/2016,4.278694301
01/05/2016,4.273985394
01/06/2016,4.350053033
01/07/2016,4.283738852
01/08/2016,4.816247826
01/09/2016,4.374268851
01/10/2016,4.758540937
01/11/2016,4.661013834
01/12/2016,5.206375872
01/01/2017,6.974640905
01/02/2017,5.075191855
01/03/2017,4.741150255
01/04/2017,4.924371324
01/05/2017,4.686747495
01/06/2017,4.062239857
01/07/2017,4.775885701
01/08/2017,4.798029868
01/09/2017,5.522157961
01/10/2017,4.817980454
01/11/2017,4.340611730
01/12/2017,4.706995215
